n_per_set,n_sae_seeds,training_samples_per_sae,train_batch_size,learning_rate,l1_coefficient,hungarian_90_mean,hungarian_90_ci95_lower,hungarian_90_ci95_upper,mmcs_mean,mmcs_ci95_lower,mmcs_ci95_upper
2,5,125000000,16384,0.0004,0.1,0.0,0.0,0.0,0.7316416740417481,0.703751642598068,0.7595317054854281
4,5,125000000,16384,0.0004,0.1,0.15,-0.1276445105197798,0.4276445105197798,0.7259406208992004,0.5564420990487919,0.8954391427496089
8,5,125000000,16384,0.0004,0.1,0.725,0.44735548948022014,1.0026445105197799,0.9176136970520019,0.8381959392257831,0.9970314548782208
16,5,125000000,16384,0.0004,0.1,0.9625,0.9199945387088589,1.005005461291141,0.9876023530960083,0.9735508245002688,1.0016538816917477
32,5,125000000,16384,0.0004,0.1,0.89375,0.8724972693544295,0.9150027306455706,0.9638592362403869,0.9527451845383939,0.97497328794238
64,5,125000000,16384,0.0004,0.1,0.915625,0.8862019267445557,0.9450480732554444,0.9725692749023438,0.9626113820065887,0.9825271677980989
128,5,125000000,16384,0.0004,0.1,0.8859375,0.866116646148385,0.9057583538516151,0.9635113477706909,0.9554233722554177,0.9715993232859641
256,5,125000000,16384,0.0004,0.1,0.9046875,0.899157364152413,0.910217635847587,0.97045419216156,0.9683997260294133,0.9725086582937068
