n_per_set,n_sae_seeds,hungarian_90_mean,hungarian_90_std,mmcs_mean,mmcs_std,assigned_cosine_mean_mean,assigned_cosine_mean_std,top_pair_max_cosine_mean,top_pair_max_cosine_std
8,5,0.8,0.1274754878398196,0.9340597271919251,0.03167575334826791,0.9217032313346862,0.04150029713035169,0.9053701877593994,0.11746209388727091
32,5,0.915625,0.036443449342783124,0.9697947859764099,0.009668983037545674,0.9472692251205445,0.015739482890747756,0.7509292006492615,0.007017036705074583
128,5,0.9046875,0.005846339666834283,0.9622187495231629,0.0022667391858613817,0.9357678055763244,0.003453640093916766,0.7487504124641419,0.008192415987915407
256,5,0.906640625,0.0120017902310447,0.9490542650222779,0.004845787598953264,0.926341438293457,0.00793432266652401,0.799213171005249,0.10045476452723566
