n_per_set,n_sae_seeds,training_samples_per_sae,train_batch_size,k,learning_rate,hungarian_90,mmcs,hungarian_90_min,hungarian_90_std,mmcs_std,mean_l0,std_l0,reconstruction_mse,explained_variance,evaluation_dead_latents
2,5,125000000,16384,2.0,0.000175,0.45,0.7581530332565307,0.25,0.18708286933869708,0.08847375728582627,2.0,0.8037257194519043,0.006489070015959442,0.9902721762657165,0.0
4,5,125000000,16384,2.0,0.000175,0.15,0.7521466493606568,0.0,0.24238399287081647,0.0722320014201466,2.0,0.9104844808578492,0.004448747588321566,0.9933301925659179,0.2
8,5,125000000,16384,2.0,0.000175,0.4125,0.8462750911712646,0.0,0.31770662567847086,0.057302962897221546,2.0,1.101431179046631,0.015574793424457311,0.9766502618789673,0.4
16,5,125000000,16384,2.0,0.000175,0.90625,0.9389225959777832,0.84375,0.05590169943749474,0.02098090804698932,2.0,0.7940046191215515,0.0015493862680159508,0.9976771235466003,1.2
32,5,125000000,16384,2.0,0.000175,0.746875,0.9141115069389343,0.015625,0.3668915030359793,0.07919895347437637,2.0,0.746951425075531,0.002101452898932621,0.9968494176864624,3.2
64,5,125000000,16384,2.0,0.000175,0.9375,0.9580929279327393,0.921875,0.009882117688026186,0.00724762307312682,2.0,0.6801440358161926,0.0018641582923009993,0.9972052216529846,5.6
128,5,125000000,16384,2.0,0.000175,0.9390625,0.9604307651519776,0.9296875,0.007654655446197431,0.007404171694400335,2.0,0.6515421986579895,0.0010967943584546448,0.9983556747436524,10.4
256,5,125000000,16384,2.0,0.000175,0.948828125,0.9650184392929078,0.943359375,0.005298695299316616,0.0022454003137299646,2.0,0.5967502117156982,0.000965022819582373,0.9985532402992249,16.4
