n_per_set,n_sae_seeds,hungarian_90_mean,hungarian_90_ci95_lower,hungarian_90_ci95_upper,mmcs_mean,mmcs_ci95_lower,mmcs_ci95_upper
2,5,0.0,0.0,0.0,0.7319892644882202,0.7047427863135232,0.7592357426629173
4,5,0.3,-0.2552890210395587,0.8552890210395587,0.7540536165237427,0.523090309283787,0.9850169237636984
8,5,0.9625,0.8583833085550827,1.0666166914449173,0.9916242003440857,0.9683848497276991,1.0148635509604722
16,5,0.975,0.932494538708859,1.017505461291141,0.9920706033706665,0.9786049061726473,1.005536300568686
32,5,0.971875,0.9430986666720004,1.0006513333279998,0.9846237182617188,0.9706495480969433,0.9985978884264943
64,5,0.95,0.938939728304826,0.9610602716951739,0.9656111359596252,0.956197164919764,0.9750251069994864
128,5,0.934375,0.9209161024798775,0.9478338975201224,0.9406505584716797,0.9285032600329881,0.9527978569103712
256,5,0.889453125,0.8824664076475193,0.8964398423524806,0.8946502327919006,0.8889801408359794,0.9003203247478218
