rho,primitive_probability,matched_partner_given_x,matched_pair_joint_probability,unmatched_pair_joint_probability,training_samples,sae_seed,checkpoint_source,primitive_recovery_fraction_90,primitive_mmcs,primitive_assigned_cosine_mean,composition_recovery_fraction_90,composition_mmcs,composition_assigned_cosine_mean,pair_detection_auroc_mean,pair_positive_fire_rate_mean,pair_negative_fire_rate_mean,decoder_primitive_fraction,decoder_matched_composition_fraction,decoder_unclassified_fraction,eval_fvu,eval_mean_l0,eval_mean_l1,eval_dead_latent_fraction
0.0,0.125,0.125,0.015625,0.015625,128000000,0,experiment_3_N8_baseline,1.0,0.9999943971633911,0.9999943971633911,0.0,0.7078947424888611,0.7078947424888611,0.8771832509924137,0.8481574133038521,0.09382922761142254,1.0,0.0,0.0,0.060761064291000366,1.6977081298828125,0.6932440996170044,0.0
0.1,0.125,0.21250000000000002,0.026562500000000003,0.0140625,128000000,0,new_training_run,1.0,0.9997266530990601,0.9997266530990601,0.0,0.7237104177474976,0.7237104177474976,0.8802190161646841,0.8472254127264023,0.08595822285860777,1.0,0.0,0.0,0.06100340932607651,1.698211669921875,0.7006101608276367,0.0
0.25,0.125,0.34375,0.04296875,0.01171875,128000000,0,new_training_run,1.0,0.9980672597885132,0.9980672597885132,0.0,0.7501676678657532,0.7501676678657532,0.8866900294662425,0.8481860086321831,0.07270838506519794,1.0,0.0,0.0,0.061745185405015945,1.7014541625976562,0.7035638093948364,0.0
0.5,0.125,0.5625,0.0703125,0.0078125,128000000,0,new_training_run,1.0,0.9888532161712646,0.9888532161712646,0.0,0.8050316572189331,0.8050316572189331,0.8998062250119407,0.8535439521074295,0.05069601535797119,1.0,0.0,0.0,0.06420478224754333,1.7154922485351562,0.6849915981292725,0.0
0.75,0.125,0.78125,0.09765625,0.00390625,128000000,0,new_training_run,0.3125,0.8074372410774231,0.7635302543640137,1.0,0.9797528386116028,0.9797528386116028,0.9322286907126411,0.8865993916988373,0.040439654840156436,0.25,0.4375,0.3125,0.07935992628335953,1.4626541137695312,0.5752443671226501,0.0
0.9,0.125,0.9125,0.1140625,0.0015624999999999997,128000000,0,new_training_run,0.0,0.7219187617301941,0.6868008375167847,1.0,0.997755765914917,0.997755765914917,0.9403682650464061,0.8895213529467583,0.017527647549286485,0.0,0.5625,0.4375,0.0484517477452755,1.1925277709960938,0.5648826360702515,0.0
1.0,0.125,1.0,0.125,0.0,128000000,0,new_training_run,0.0,0.7093740701675415,0.6377087831497192,1.0,0.9999997615814209,0.9999997615814209,0.9463823036899764,0.8927646055817604,0.0,0.0,0.6875,0.3125,0.031431011855602264,1.2259445190429688,0.5807371735572815,0.3125
