n_per_set,sae_seed,dictionary_seed,data_seed,k_expected_samples_per_primitive,training_samples,optimizer_steps,expected_samples_per_pair,hungarian_90,mmcs,hungarian_assigned_cosine_mean,hungarian_assigned_cosine_min,eval_fvu,eval_mean_l0,eval_mean_l1,eval_dead_latent_fraction
256,0,0,0,4000,1024000,1000,15.625,0.65625,0.838937520980835,0.8134967088699341,0.002480720169842243,0.27501559257507324,2.7621612548828125,0.606925368309021,0.0
256,0,0,0,8000,2048000,2000,31.25,0.87109375,0.8862918615341187,0.8804640769958496,-0.0010537276975810528,0.1662442982196808,1.8245697021484375,0.6179953813552856,0.001953125
