n_per_set,sae_seed,dictionary_seed,data_seed,k_expected_samples_per_primitive,training_samples,optimizer_steps,expected_samples_per_pair,hungarian_90,mmcs,hungarian_assigned_cosine_mean,hungarian_assigned_cosine_min,eval_fvu,eval_mean_l0,eval_mean_l1,eval_dead_latent_fraction
256,0,0,0,8000000,2048000000,2000000,31250.0,0.896484375,0.9069966077804565,0.9029675722122192,-0.005546937230974436,0.1508706957101822,1.558441162109375,0.176510289311409,0.091796875
256,0,0,0,16000000,4096000000,4000000,62500.0,0.896484375,0.9070294499397278,0.9030569195747375,-0.0043976884335279465,0.15120065212249756,1.54534912109375,0.17391754686832428,0.099609375
256,0,0,0,24000000,6144000000,6000000,93750.0,0.896484375,0.9070261716842651,0.9031069278717041,-0.004923292901366949,0.15104426443576813,1.5457305908203125,0.1740105152130127,0.099609375
256,0,0,0,32000000,8192000000,8000000,125000.0,0.896484375,0.9070417881011963,0.9031033515930176,-0.004923292901366949,0.15082421898841858,1.5458984375,0.1741345226764679,0.099609375
